Cell_ID,ID,Firing_Pattern,Input_Resistance,Tau_Membrane,RMP,Spikes_200pA,Threshold_Current,AP_Amplitude,AP_Halfwidth,Voltage_Threshold,Max_DepolRate,Max_RepolRate,Sag_90mV,Depol_Block
,P14_TeNT,Tonic,0.3683,12.48,-60.51,66,20,74.5212,0.163206,-48.8361,689.055,-646.82,10.657,0
,P14_TeNT,Tonic,0.309,12.5,-75.87,52,80,77.7436,0.148413,-54.8428,845.481,-696.094,6.018,0
,P14_TeNT,Phasic,0.172,11.51,-75.88,3,200,73.7391,0.15855,-53.9043,743.804,-610.06,4.258,0
,P14_TeNT,Tonic,0.3168,14.58,-77.34,34,100,66.1368,0.18934,-56.2194,561.568,-455.199,2.967,0
,P14_TeNT,Tonic,0.1643,7.75,-74.17,5,90,61.1624,0.254157,-54.9993,441.902,-331.622,3.754,0
,P14_iMNTB,Phasic,0.1878,7.46,-71.39,1,120,57.5021,0.22333,-51.7456,396.539,-381.679,4.864,1
,P14_iMNTB,Tonic,0.2473,15.98,-70.61,11,80,58.0965,0.232001,-56.063,367.6,-351.176,5.693,1
,P14_iMNTB,Phasic,0.1948,8.47,-67.39,2,120,55.3747,0.241435,-51.3076,340.226,-326.93,7.428,1
,P14_iMNTB,Phasic,0.147,5.59,-73.77,1,160,55.2808,0.277699,-53.6227,307.376,-272.963,4.173,0
,P14_iMNTB,Tonic,0.3958,10.77,-68.17,94,40,69.5468,0.1527,-51.5892,603.803,-705.48,8.242,0
,P14_iMNTB,Tonic,0.1245,5.72,-71.39,20,100,64.0094,0.169064,-52.3713,588.943,-564.697,7.473,0
,P14_iMNTB,Tonic,0.2198,7.59,-71.92,48,60,65.9803,0.178237,-56.0317,624.921,-484.137,6.18,0
,P14_iMNTB,Phasic,0.1088,6.27,-72.36,1,200,61.6865,0.195909,-52.8463,546.778,-441.224,5.674,0
,P14_iMNTB,Phasic,0.467,9.47,-76.49,1,160,55.0931,0.188117,-47.0216,454.417,-401.232,3.311,0
,P14_iMNTB,Phasic,0.1188,7.21,-74.18,0,260,54.0607,0.235148,-51.8395,405.143,-316.762,3.744,0
,P14_iMNTB,Tonic,0.237,9.67,-75.66,34,90,69.672,0.233998,-56.3758,454.417,-418.439,3.509,0
,P14_iMNTB,Phasic,0.1738,8.27,-70.75,1,110,59.8172,0.262816,-52.8406,362.908,-326.148,4.986,1
,P14_iMNTB,Tonic,0.2768,9.99,-74.7,22,70,67.0753,0.197781,-54.092,628.049,-434.863,4.057,0
